YSL-Lipstick-202,#9C2A2C
YSL-Lipstick-203,#90031D
YSL-Lipstick-205,#520201
YSL-Lipstick-72,#991B2D
YSL-Lipstick-73,#CE0611
YSL-Lipstick-74,#DF291B
YSL-Lipstick-211,#E3034E
YSL-Lipstick-212,#A43B4E
YSL-Lipstick-213,#E84138
YSL-Lipstick-215,#E24E8F
YSL-Lipstick-216,#DD4558
YSL-Lipstick-217,#E07184
YSL-Lipstick-49,#D71F4F
YSL-Lipstick-43,#D23A4B
YSL-Lipstick-14,#DD493C
YSL-Lipstick-04,#B81A2D
YSL-Lipstick-05,#B31E43
YSL-Lipstick-06,#DF1E5E
YSL-Lipstick-08,#A94D50
YSL-Lipstick-09,#B15653
YSL-Lipstick-12,#E0313D
YSL-Lipstick-13,#E16D6D
YSL-Lipstick-15,#E16A64
YSL-Lipstick-16,#CF413C
YSL-Lipstick-19,#842971
YSL-Lipstick-41,#ED686D
YSL-Lipstick-42,#EEE8DC
YSL-Lipstick-44,#C26C6D
YSL-Lipstick-45,#C50827
YSL-Lipstick-46,#D40C0B
YSL-Lipstick-47,#BC6665
YSL-Lipstick-48,#8F223C
YSL-Lipstick-50,#E20F69
YSL-Lipstick-51,#EF7286
YSL-Lipstick-52,#D55C84
YSL-Lipstick-11,#D41967
YSL-Lipstick-3,#F08784
YSL-Lipstick-8,#E42422
YSL-Lipstick-4,#D9043F
YSL-Lipstick-1,#BF5A5F
YSL-Lipstick-2,#E77592
YSL-Lipstick-5,#620F27
YSL-Lipstick-6,#CB0924
YSL-Lipstick-7,#EC6C67
YSL-Lipstick-9,#E63457
YSL-Lipstick-10,#9F0F2F
YSL-Lipstick-12,#B71C3D
givenchy-Lipstick-108,#C07F64
givenchy-Lipstick-201,#DA6C6B
givenchy-Lipstick-209,#C5215F
givenchy-Lipstick-210,#E2697D
givenchy-Lipstick-211,#BF746E
givenchy-Lipstick-305,#CC1F41
givenchy-Lipstick-315,#8B1440
givenchy-Lipstick-317,#C14041
givenchy-Lipstick-102,#C9695A
givenchy-Lipstick-103,#B15351
givenchy-Lipstick-105,#8E3C40
givenchy-Lipstick-202,#D94854
givenchy-Lipstick-304,#E03B3C
givenchy-Lipstick-204,#A63848
givenchy-Lipstick-205,#CC2861
givenchy-Lipstick-302,#DE465A
givenchy-Lipstick-303,#E33D50
